strategy,generation_interval_ms,poll_interval_ms,long_poll_timeout_ms,request_started_at,response_received_at,request_latency_ms,data_age_ms,message_id,duplicate,missed_messages,http_status,response_bytes
polling,1000,2000,,1779041793732,1779041793733,1,2,1,False,0,200,297
polling,1000,2000,,1779041795732,1779041795737,5,4,3,False,1,200,295
polling,1000,2000,,1779041797732,1779041797736,4,1002,4,False,0,200,298
polling,1000,2000,,1779041799732,1779041799735,3,999,6,False,1,200,292
polling,1000,2000,,1779041801732,1779041801736,4,997,8,False,1,200,295
polling,1000,2000,,1779041803732,1779041803741,9,999,10,False,1,200,294
polling,1000,2000,,1779041805732,1779041805735,3,991,12,False,1,200,294
polling,1000,2000,,1779041807732,1779041807736,4,991,14,False,1,200,300
polling,1000,2000,,1779041809732,1779041809736,4,989,16,False,1,200,297
polling,1000,2000,,1779041811732,1779041811736,4,986,18,False,1,200,297
polling,1000,2000,,1779041813732,1779041813737,5,984,20,False,1,200,297
polling,1000,2000,,1779041815732,1779041815736,4,981,22,False,1,200,297
polling,1000,2000,,1779041817732,1779041817736,4,980,24,False,1,200,294
polling,1000,2000,,1779041819732,1779041819736,4,978,26,False,1,200,294
polling,1000,2000,,1779041821732,1779041821736,4,975,28,False,1,200,296
polling,1000,2000,,1779041823732,1779041823736,4,972,30,False,1,200,297
polling,1000,2000,,1779041825732,1779041825735,3,969,32,False,1,200,296
polling,1000,2000,,1779041827732,1779041827737,5,969,34,False,1,200,294
polling,1000,2000,,1779041829732,1779041829736,4,965,36,False,1,200,296
polling,1000,2000,,1779041831732,1779041831737,5,965,38,False,1,200,303
polling,1000,2000,,1779041833732,1779041833736,4,961,40,False,1,200,297
polling,1000,2000,,1779041835732,1779041835736,4,958,42,False,1,200,297
polling,1000,2000,,1779041837732,1779041837736,4,955,44,False,1,200,297
polling,1000,2000,,1779041839732,1779041839738,6,955,46,False,1,200,297
polling,1000,2000,,1779041841732,1779041841736,4,950,48,False,1,200,299
polling,1000,2000,,1779041843732,1779041843735,3,946,50,False,1,200,296
polling,1000,2000,,1779041845732,1779041845737,5,946,52,False,1,200,303
polling,1000,2000,,1779041847732,1779041847737,5,941,54,False,1,200,294
polling,1000,2000,,1779041849732,1779041849737,5,940,56,False,1,200,297
polling,1000,2000,,1779041851732,1779041851738,6,938,58,False,1,200,303
polling,1000,2000,,1779041853732,1779041853736,4,933,60,False,1,200,297
polling,1000,2000,,1779041855732,1779041855737,5,930,62,False,1,200,297
polling,1000,2000,,1779041857732,1779041857735,3,926,64,False,1,200,297
polling,1000,2000,,1779041859732,1779041859736,4,924,66,False,1,200,296
polling,1000,2000,,1779041861732,1779041861737,5,923,68,False,1,200,297
polling,1000,2000,,1779041863732,1779041863735,3,918,70,False,1,200,297
polling,1000,2000,,1779041865732,1779041865737,5,918,72,False,1,200,307
polling,1000,2000,,1779041867732,1779041867737,5,915,74,False,1,200,298
polling,1000,2000,,1779041869732,1779041869736,4,910,76,False,1,200,298
polling,1000,2000,,1779041871732,1779041871736,4,908,78,False,1,200,296
polling,1000,2000,,1779041873732,1779041873737,5,906,80,False,1,200,298
polling,1000,2000,,1779041875732,1779041875737,5,904,82,False,1,200,298
polling,1000,2000,,1779041877732,1779041877737,5,902,84,False,1,200,298
polling,1000,2000,,1779041879732,1779041879736,4,898,86,False,1,200,296
polling,1000,2000,,1779041881732,1779041881737,5,896,88,False,1,200,298
polling,1000,2000,,1779041883732,1779041883736,4,892,90,False,1,200,298
polling,1000,2000,,1779041885732,1779041885735,3,888,92,False,1,200,297
polling,1000,2000,,1779041887732,1779041887734,2,885,94,False,1,200,298
polling,1000,2000,,1779041889732,1779041889734,2,882,96,False,1,200,303
polling,1000,2000,,1779041891732,1779041891736,4,882,98,False,1,200,298
polling,1000,2000,,1779041893732,1779041893735,3,880,100,False,1,200,298
polling,1000,2000,,1779041895732,1779041895734,2,877,102,False,1,200,298
polling,1000,2000,,1779041897732,1779041897734,2,874,104,False,1,200,299
polling,1000,2000,,1779041899732,1779041899735,3,872,106,False,1,200,299
polling,1000,2000,,1779041901732,1779041901734,2,868,108,False,1,200,299
polling,1000,2000,,1779041903732,1779041903734,2,866,110,False,1,200,296
polling,1000,2000,,1779041905732,1779041905734,2,864,112,False,1,200,302
polling,1000,2000,,1779041907732,1779041907734,2,862,114,False,1,200,299
polling,1000,2000,,1779041909732,1779041909734,2,859,116,False,1,200,298
polling,1000,2000,,1779041911732,1779041911734,2,857,118,False,1,200,305
polling,1000,2000,,1779041913732,1779041913734,2,855,120,False,1,200,299
