strategy,generation_interval_ms,poll_interval_ms,long_poll_timeout_ms,request_started_at,response_received_at,request_latency_ms,data_age_ms,message_id,duplicate,missed_messages,http_status,response_bytes
polling,1000,250,,1779041363184,1779041363186,2,3,1,False,0,200,298
polling,1000,250,,1779041363434,1779041363436,2,253,1,True,0,200,298
polling,1000,250,,1779041363684,1779041363689,5,506,1,True,0,200,298
polling,1000,250,,1779041363934,1779041363939,5,756,1,True,0,200,298
polling,1000,250,,1779041364184,1779041364188,4,2,2,False,0,200,295
polling,1000,250,,1779041364434,1779041364439,5,253,2,True,0,200,295
polling,1000,250,,1779041364684,1779041364689,5,503,2,True,0,200,295
polling,1000,250,,1779041364934,1779041364940,6,754,2,True,0,200,295
polling,1000,250,,1779041365184,1779041365187,3,1001,2,True,0,200,295
polling,1000,250,,1779041365434,1779041365437,3,250,3,False,0,200,295
polling,1000,250,,1779041365684,1779041365689,5,502,3,True,0,200,295
polling,1000,250,,1779041365934,1779041365938,4,751,3,True,0,200,295
polling,1000,250,,1779041366184,1779041366187,3,1000,3,True,0,200,295
polling,1000,250,,1779041366434,1779041366437,3,249,4,False,0,200,298
polling,1000,250,,1779041366684,1779041366689,5,501,4,True,0,200,298
polling,1000,250,,1779041366934,1779041366938,4,750,4,True,0,200,298
polling,1000,250,,1779041367184,1779041367186,2,998,4,True,0,200,298
polling,1000,250,,1779041367434,1779041367438,4,250,5,False,0,200,298
polling,1000,250,,1779041367684,1779041367688,4,500,5,True,0,200,298
polling,1000,250,,1779041367934,1779041367938,4,750,5,True,0,200,298
polling,1000,250,,1779041368184,1779041368186,2,998,5,True,0,200,298
polling,1000,250,,1779041368434,1779041368437,3,247,6,False,0,200,292
polling,1000,250,,1779041368684,1779041368688,4,498,6,True,0,200,291
polling,1000,250,,1779041368934,1779041368938,4,748,6,True,0,200,292
polling,1000,250,,1779041369184,1779041369186,2,996,6,True,0,200,292
polling,1000,250,,1779041369434,1779041369439,5,249,7,False,0,200,295
polling,1000,250,,1779041369684,1779041369689,5,499,7,True,0,200,295
polling,1000,250,,1779041369934,1779041369937,3,747,7,True,0,200,295
polling,1000,250,,1779041370184,1779041370186,2,996,7,True,0,200,295
polling,1000,250,,1779041370434,1779041370438,4,247,8,False,0,200,295
polling,1000,250,,1779041370684,1779041370689,5,498,8,True,0,200,295
polling,1000,250,,1779041370934,1779041370938,4,747,8,True,0,200,295
polling,1000,250,,1779041371184,1779041371186,2,995,8,True,0,200,295
polling,1000,250,,1779041371434,1779041371439,5,247,9,False,0,200,296
polling,1000,250,,1779041371684,1779041371689,5,497,9,True,0,200,296
polling,1000,250,,1779041371934,1779041371938,4,746,9,True,0,200,296
polling,1000,250,,1779041372184,1779041372186,2,994,9,True,0,200,296
polling,1000,250,,1779041372434,1779041372439,5,246,10,False,0,200,294
polling,1000,250,,1779041372685,1779041372690,5,497,10,True,0,200,294
polling,1000,250,,1779041372934,1779041372939,5,746,10,True,0,200,294
polling,1000,250,,1779041373184,1779041373186,2,993,10,True,0,200,294
polling,1000,250,,1779041373434,1779041373439,5,245,11,False,0,200,297
polling,1000,250,,1779041373684,1779041373689,5,495,11,True,0,200,297
polling,1000,250,,1779041373935,1779041373940,5,746,11,True,0,200,297
polling,1000,250,,1779041374184,1779041374186,2,992,11,True,0,200,297
polling,1000,250,,1779041374434,1779041374439,5,243,12,False,0,200,294
polling,1000,250,,1779041374685,1779041374689,4,493,12,True,0,200,294
polling,1000,250,,1779041374934,1779041374939,5,743,12,True,0,200,294
polling,1000,250,,1779041375184,1779041375186,2,990,12,True,0,200,294
polling,1000,250,,1779041375434,1779041375438,4,242,13,False,0,200,297
polling,1000,250,,1779041375684,1779041375689,5,493,13,True,0,200,297
polling,1000,250,,1779041375934,1779041375939,5,743,13,True,0,200,297
polling,1000,250,,1779041376184,1779041376187,3,991,13,True,0,200,297
polling,1000,250,,1779041376434,1779041376438,4,241,14,False,0,200,300
polling,1000,250,,1779041376685,1779041376690,5,493,14,True,0,200,300
polling,1000,250,,1779041376934,1779041376938,4,741,14,True,0,200,300
polling,1000,250,,1779041377184,1779041377187,3,990,14,True,0,200,300
polling,1000,250,,1779041377435,1779041377440,5,242,15,False,0,200,297
polling,1000,250,,1779041377685,1779041377690,5,492,15,True,0,200,297
polling,1000,250,,1779041377934,1779041377939,5,741,15,True,0,200,297
polling,1000,250,,1779041378184,1779041378187,3,989,15,True,0,200,297
polling,1000,250,,1779041378435,1779041378438,3,240,16,False,0,200,297
polling,1000,250,,1779041378684,1779041378689,5,491,16,True,0,200,297
polling,1000,250,,1779041378934,1779041378938,4,740,16,True,0,200,297
polling,1000,250,,1779041379184,1779041379186,2,988,16,True,0,200,297
polling,1000,250,,1779041379434,1779041379438,4,239,17,False,0,200,294
polling,1000,250,,1779041379684,1779041379690,6,491,17,True,0,200,293
polling,1000,250,,1779041379934,1779041379939,5,740,17,True,0,200,294
polling,1000,250,,1779041380184,1779041380186,2,987,17,True,0,200,294
polling,1000,250,,1779041380434,1779041380438,4,238,18,False,0,200,297
polling,1000,250,,1779041380684,1779041380689,5,489,18,True,0,200,297
polling,1000,250,,1779041380934,1779041380938,4,738,18,True,0,200,297
polling,1000,250,,1779041381184,1779041381186,2,986,18,True,0,200,297
polling,1000,250,,1779041381434,1779041381438,4,237,19,False,0,200,297
polling,1000,250,,1779041381685,1779041381690,5,489,19,True,0,200,297
polling,1000,250,,1779041381934,1779041381937,3,736,19,True,0,200,297
polling,1000,250,,1779041382184,1779041382187,3,986,19,True,0,200,297
polling,1000,250,,1779041382434,1779041382438,4,236,20,False,0,200,296
polling,1000,250,,1779041382684,1779041382688,4,486,20,True,0,200,297
polling,1000,250,,1779041382934,1779041382938,4,736,20,True,0,200,297
polling,1000,250,,1779041383184,1779041383187,3,985,20,True,0,200,297
polling,1000,250,,1779041383434,1779041383438,4,235,21,False,0,200,297
polling,1000,250,,1779041383685,1779041383690,5,487,21,True,0,200,297
polling,1000,250,,1779041383934,1779041383938,4,735,21,True,0,200,297
polling,1000,250,,1779041384184,1779041384187,3,984,21,True,0,200,297
polling,1000,250,,1779041384434,1779041384438,4,235,22,False,0,200,297
polling,1000,250,,1779041384684,1779041384688,4,485,22,True,0,200,297
polling,1000,250,,1779041384934,1779041384938,4,735,22,True,0,200,297
polling,1000,250,,1779041385184,1779041385186,2,983,22,True,0,200,297
polling,1000,250,,1779041385434,1779041385438,4,235,23,False,0,200,297
polling,1000,250,,1779041385684,1779041385689,5,486,23,True,0,200,297
polling,1000,250,,1779041385935,1779041385939,4,736,23,True,0,200,297
polling,1000,250,,1779041386184,1779041386186,2,983,23,True,0,200,297
polling,1000,250,,1779041386434,1779041386439,5,234,24,False,0,200,294
polling,1000,250,,1779041386684,1779041386688,4,483,24,True,0,200,293
polling,1000,250,,1779041386934,1779041386939,5,734,24,True,0,200,294
polling,1000,250,,1779041387184,1779041387187,3,982,24,True,0,200,294
polling,1000,250,,1779041387434,1779041387438,4,231,25,False,0,200,297
polling,1000,250,,1779041387684,1779041387688,4,481,25,True,0,200,297
polling,1000,250,,1779041387934,1779041387939,5,732,25,True,0,200,297
polling,1000,250,,1779041388184,1779041388187,3,980,25,True,0,200,297
polling,1000,250,,1779041388434,1779041388439,5,231,26,False,0,200,294
polling,1000,250,,1779041388684,1779041388689,5,481,26,True,0,200,294
polling,1000,250,,1779041388934,1779041388939,5,731,26,True,0,200,294
polling,1000,250,,1779041389184,1779041389187,3,979,26,True,0,200,294
polling,1000,250,,1779041389434,1779041389438,4,229,27,False,0,200,297
polling,1000,250,,1779041389684,1779041389688,4,479,27,True,0,200,297
polling,1000,250,,1779041389935,1779041389939,4,730,27,True,0,200,297
polling,1000,250,,1779041390184,1779041390187,3,978,27,True,0,200,297
polling,1000,250,,1779041390434,1779041390438,4,228,28,False,0,200,297
polling,1000,250,,1779041390684,1779041390688,4,478,28,True,0,200,297
polling,1000,250,,1779041390934,1779041390938,4,728,28,True,0,200,297
polling,1000,250,,1779041391184,1779041391186,2,976,28,True,0,200,297
polling,1000,250,,1779041391434,1779041391438,4,227,29,False,0,200,294
polling,1000,250,,1779041391684,1779041391688,4,477,29,True,0,200,294
polling,1000,250,,1779041391934,1779041391939,5,728,29,True,0,200,294
polling,1000,250,,1779041392184,1779041392186,2,975,29,True,0,200,294
polling,1000,250,,1779041392435,1779041392439,4,225,30,False,0,200,297
polling,1000,250,,1779041392684,1779041392689,5,475,30,True,0,200,296
polling,1000,250,,1779041392934,1779041392939,5,725,30,True,0,200,297
polling,1000,250,,1779041393184,1779041393186,2,972,30,True,0,200,297
polling,1000,250,,1779041393434,1779041393438,4,223,31,False,0,200,297
polling,1000,250,,1779041393684,1779041393688,4,473,31,True,0,200,297
polling,1000,250,,1779041393934,1779041393938,4,723,31,True,0,200,297
polling,1000,250,,1779041394184,1779041394186,2,971,31,True,0,200,297
polling,1000,250,,1779041394435,1779041394439,4,223,32,False,0,200,297
polling,1000,250,,1779041394684,1779041394690,6,474,32,True,0,200,297
polling,1000,250,,1779041394934,1779041394939,5,723,32,True,0,200,297
polling,1000,250,,1779041395184,1779041395187,3,971,32,True,0,200,297
polling,1000,250,,1779041395434,1779041395439,5,222,33,False,0,200,297
polling,1000,250,,1779041395684,1779041395688,4,471,33,True,0,200,297
polling,1000,250,,1779041395934,1779041395939,5,722,33,True,0,200,297
polling,1000,250,,1779041396184,1779041396187,3,970,33,True,0,200,297
polling,1000,250,,1779041396434,1779041396439,5,221,34,False,0,200,294
polling,1000,250,,1779041396684,1779041396688,4,470,34,True,0,200,294
polling,1000,250,,1779041396934,1779041396937,3,719,34,True,0,200,294
polling,1000,250,,1779041397184,1779041397186,2,968,34,True,0,200,294
polling,1000,250,,1779041397434,1779041397438,4,219,35,False,0,200,297
polling,1000,250,,1779041397684,1779041397688,4,469,35,True,0,200,297
polling,1000,250,,1779041397934,1779041397940,6,721,35,True,0,200,297
polling,1000,250,,1779041398184,1779041398187,3,968,35,True,0,200,297
polling,1000,250,,1779041398434,1779041398439,5,219,36,False,0,200,296
polling,1000,250,,1779041398684,1779041398690,6,470,36,True,0,200,296
polling,1000,250,,1779041398934,1779041398939,5,719,36,True,0,200,296
polling,1000,250,,1779041399184,1779041399186,2,966,36,True,0,200,296
polling,1000,250,,1779041399434,1779041399438,4,216,37,False,0,200,297
polling,1000,250,,1779041399684,1779041399688,4,466,37,True,0,200,297
polling,1000,250,,1779041399934,1779041399938,4,716,37,True,0,200,297
polling,1000,250,,1779041400184,1779041400186,2,964,37,True,0,200,297
polling,1000,250,,1779041400434,1779041400437,3,214,38,False,0,200,302
polling,1000,250,,1779041400684,1779041400689,5,466,38,True,0,200,303
