strategy,generation_interval_ms,poll_interval_ms,long_poll_timeout_ms,request_started_at,response_received_at,request_latency_ms,data_age_ms,message_id,duplicate,missed_messages,http_status,response_bytes
polling,1000,1000,,1779040715025,1779040715027,2,3,1,False,0,200,298
polling,1000,1000,,1779040716025,1779040716029,4,4,2,False,0,200,294
polling,1000,1000,,1779040717025,1779040717028,3,2,3,False,0,200,295
polling,1000,1000,,1779040718025,1779040718031,6,4,4,False,0,200,298
polling,1000,1000,,1779040719025,1779040719030,5,1003,4,True,0,200,298
polling,1000,1000,,1779040720025,1779040720034,9,1004,5,False,0,200,298
polling,1000,1000,,1779040721025,1779040721030,5,1000,6,False,0,200,292
polling,1000,1000,,1779040722025,1779040722030,5,999,7,False,0,200,295
polling,1000,1000,,1779040723025,1779040723028,3,996,8,False,0,200,295
polling,1000,1000,,1779040724025,1779040724029,4,997,9,False,0,200,296
polling,1000,1000,,1779040725025,1779040725028,3,995,10,False,0,200,294
polling,1000,1000,,1779040726025,1779040726028,3,994,11,False,0,200,297
polling,1000,1000,,1779040727025,1779040727030,5,995,12,False,0,200,294
polling,1000,1000,,1779040728025,1779040728029,4,993,13,False,0,200,297
polling,1000,1000,,1779040729025,1779040729029,4,992,14,False,0,200,299
polling,1000,1000,,1779040730025,1779040730030,5,990,15,False,0,200,297
polling,1000,1000,,1779040731025,1779040731030,5,990,16,False,0,200,297
polling,1000,1000,,1779040732025,1779040732029,4,988,17,False,0,200,294
polling,1000,1000,,1779040733025,1779040733029,4,987,18,False,0,200,297
polling,1000,1000,,1779040734025,1779040734030,5,987,19,False,0,200,297
polling,1000,1000,,1779040735025,1779040735030,5,986,20,False,0,200,297
polling,1000,1000,,1779040736025,1779040736029,4,984,21,False,0,200,297
polling,1000,1000,,1779040737025,1779040737030,5,984,22,False,0,200,297
polling,1000,1000,,1779040738025,1779040738028,3,981,23,False,0,200,297
polling,1000,1000,,1779040739025,1779040739029,4,981,24,False,0,200,294
polling,1000,1000,,1779040740025,1779040740029,4,980,25,False,0,200,297
polling,1000,1000,,1779040741025,1779040741030,5,981,26,False,0,200,294
polling,1000,1000,,1779040742025,1779040742028,3,978,27,False,0,200,297
polling,1000,1000,,1779040743025,1779040743029,4,977,28,False,0,200,297
polling,1000,1000,,1779040744025,1779040744029,4,976,29,False,0,200,293
polling,1000,1000,,1779040745025,1779040745029,4,975,30,False,0,200,297
polling,1000,1000,,1779040746025,1779040746029,4,973,31,False,0,200,297
polling,1000,1000,,1779040747025,1779040747030,5,973,32,False,0,200,297
polling,1000,1000,,1779040748025,1779040748029,4,971,33,False,0,200,297
polling,1000,1000,,1779040749025,1779040749029,4,970,34,False,0,200,294
polling,1000,1000,,1779040750025,1779040750028,3,968,35,False,0,200,297
polling,1000,1000,,1779040751025,1779040751030,5,969,36,False,0,200,296
polling,1000,1000,,1779040752025,1779040752028,3,965,37,False,0,200,297
polling,1000,1000,,1779040753025,1779040753028,3,963,38,False,0,200,303
polling,1000,1000,,1779040754025,1779040754029,4,962,39,False,0,200,297
polling,1000,1000,,1779040755025,1779040755031,6,962,40,False,0,200,297
polling,1000,1000,,1779040756025,1779040756029,4,959,41,False,0,200,294
polling,1000,1000,,1779040757025,1779040757030,5,959,42,False,0,200,297
polling,1000,1000,,1779040758025,1779040758029,4,956,43,False,0,200,297
polling,1000,1000,,1779040759025,1779040759030,5,956,44,False,0,200,297
polling,1000,1000,,1779040760025,1779040760030,5,955,45,False,0,200,297
polling,1000,1000,,1779040761025,1779040761030,5,954,46,False,0,200,297
polling,1000,1000,,1779040762025,1779040762030,5,953,47,False,0,200,303
polling,1000,1000,,1779040763025,1779040763028,3,950,48,False,0,200,298
polling,1000,1000,,1779040764025,1779040764029,4,950,49,False,0,200,303
polling,1000,1000,,1779040765025,1779040765029,4,949,50,False,0,200,297
polling,1000,1000,,1779040766025,1779040766030,5,947,51,False,0,200,297
polling,1000,1000,,1779040767025,1779040767029,4,945,52,False,0,200,303
polling,1000,1000,,1779040768025,1779040768028,3,943,53,False,0,200,296
polling,1000,1000,,1779040769025,1779040769028,3,941,54,False,0,200,293
polling,1000,1000,,1779040770025,1779040770030,5,943,55,False,0,200,297
polling,1000,1000,,1779040771025,1779040771030,5,942,56,False,0,200,297
polling,1000,1000,,1779040772025,1779040772029,4,939,57,False,0,200,297
polling,1000,1000,,1779040773025,1779040773029,4,939,58,False,0,200,302
polling,1000,1000,,1779040774025,1779040774029,4,938,59,False,0,200,297
polling,1000,1000,,1779040775025,1779040775028,3,936,60,False,0,200,296
polling,1000,1000,,1779040776025,1779040776029,4,936,61,False,0,200,297
polling,1000,1000,,1779040777025,1779040777030,5,936,62,False,0,200,297
polling,1000,1000,,1779040778025,1779040778029,4,934,63,False,0,200,297
polling,1000,1000,,1779040779025,1779040779029,4,932,64,False,0,200,297
polling,1000,1000,,1779040780025,1779040780027,2,929,65,False,0,200,297
polling,1000,1000,,1779040781025,1779040781027,2,927,66,False,0,200,296
polling,1000,1000,,1779040782025,1779040782027,2,926,67,False,0,200,297
polling,1000,1000,,1779040783025,1779040783027,2,925,68,False,0,200,297
polling,1000,1000,,1779040784025,1779040784027,2,924,69,False,0,200,294
polling,1000,1000,,1779040785025,1779040785027,2,923,70,False,0,200,297
polling,1000,1000,,1779040786025,1779040786027,2,921,71,False,0,200,297
polling,1000,1000,,1779040787025,1779040787027,2,920,72,False,0,200,307
polling,1000,1000,,1779040788025,1779040788027,2,919,73,False,0,200,297
polling,1000,1000,,1779040789025,1779040789027,2,918,74,False,0,200,298
polling,1000,1000,,1779040790025,1779040790027,2,917,75,False,0,200,298
polling,1000,1000,,1779040791025,1779040791027,2,917,76,False,0,200,298
polling,1000,1000,,1779040792025,1779040792028,3,916,77,False,0,200,298
polling,1000,1000,,1779040793025,1779040793029,4,916,78,False,0,200,297
polling,1000,1000,,1779040794025,1779040794030,5,916,79,False,0,200,298
polling,1000,1000,,1779040795025,1779040795028,3,913,80,False,0,200,298
polling,1000,1000,,1779040796025,1779040796029,4,912,81,False,0,200,298
polling,1000,1000,,1779040797025,1779040797028,3,910,82,False,0,200,297
polling,1000,1000,,1779040798025,1779040798029,4,910,83,False,0,200,298
polling,1000,1000,,1779040799025,1779040799029,4,909,84,False,0,200,298
polling,1000,1000,,1779040800025,1779040800031,6,910,85,False,0,200,294
polling,1000,1000,,1779040801025,1779040801029,4,907,86,False,0,200,297
polling,1000,1000,,1779040802025,1779040802030,5,905,87,False,0,200,298
polling,1000,1000,,1779040803025,1779040803030,5,903,88,False,0,200,298
polling,1000,1000,,1779040804025,1779040804030,5,902,89,False,0,200,298
polling,1000,1000,,1779040805025,1779040805029,4,900,90,False,0,200,298
polling,1000,1000,,1779040806025,1779040806029,4,898,91,False,0,200,298
polling,1000,1000,,1779040807025,1779040807028,3,896,92,False,0,200,298
polling,1000,1000,,1779040808025,1779040808030,5,897,93,False,0,200,297
polling,1000,1000,,1779040809025,1779040809030,5,896,94,False,0,200,297
polling,1000,1000,,1779040810025,1779040810030,5,895,95,False,0,200,300
polling,1000,1000,,1779040811025,1779040811028,3,892,96,False,0,200,303
polling,1000,1000,,1779040812025,1779040812027,2,888,97,False,0,200,298
polling,1000,1000,,1779040813025,1779040813027,2,886,98,False,0,200,298
polling,1000,1000,,1779040814025,1779040814028,3,886,99,False,0,200,295
polling,1000,1000,,1779040815025,1779040815028,3,885,100,False,0,200,299
polling,1000,1000,,1779040816025,1779040816030,5,885,101,False,0,200,298
polling,1000,1000,,1779040817025,1779040817029,4,884,102,False,0,200,299
polling,1000,1000,,1779040818025,1779040818029,4,882,103,False,0,200,299
polling,1000,1000,,1779040819025,1779040819029,4,880,104,False,0,200,299
polling,1000,1000,,1779040820025,1779040820030,5,881,105,False,0,200,299
polling,1000,1000,,1779040821025,1779040821030,5,879,106,False,0,200,299
polling,1000,1000,,1779040822025,1779040822030,5,876,107,False,0,200,299
polling,1000,1000,,1779040823025,1779040823029,4,873,108,False,0,200,299
polling,1000,1000,,1779040824025,1779040824029,4,872,109,False,0,200,299
polling,1000,1000,,1779040825025,1779040825029,4,871,110,False,0,200,296
polling,1000,1000,,1779040826025,1779040826030,5,871,111,False,0,200,299
polling,1000,1000,,1779040827025,1779040827030,5,870,112,False,0,200,302
polling,1000,1000,,1779040828025,1779040828029,4,867,113,False,0,200,299
polling,1000,1000,,1779040829025,1779040829030,5,866,114,False,0,200,299
polling,1000,1000,,1779040830025,1779040830028,3,863,115,False,0,200,298
polling,1000,1000,,1779040831025,1779040831030,5,863,116,False,0,200,298
polling,1000,1000,,1779040832025,1779040832029,4,861,117,False,0,200,299
polling,1000,1000,,1779040833025,1779040833030,5,861,118,False,0,200,305
polling,1000,1000,,1779040834025,1779040834029,4,859,119,False,0,200,299
polling,1000,1000,,1779040835025,1779040835030,5,858,120,False,0,200,299
