strategy,generation_interval_ms,poll_interval_ms,long_poll_timeout_ms,request_started_at,response_received_at,request_latency_ms,data_age_ms,message_id,duplicate,missed_messages,http_status,response_bytes
polling,1000,250,,1779041125310,1779041125311,1,2,1,False,0,200,298
polling,1000,250,,1779041125560,1779041125563,3,254,1,True,0,200,298
polling,1000,250,,1779041125810,1779041125813,3,504,1,True,0,200,298
polling,1000,250,,1779041126060,1779041126063,3,754,1,True,0,200,298
polling,1000,250,,1779041126310,1779041126314,4,3,2,False,0,200,295
polling,1000,250,,1779041126560,1779041126568,8,257,2,True,0,200,295
polling,1000,250,,1779041126810,1779041126813,3,502,2,True,0,200,295
polling,1000,250,,1779041127060,1779041127063,3,752,2,True,0,200,295
polling,1000,250,,1779041127310,1779041127314,4,2,3,False,0,200,295
polling,1000,250,,1779041127560,1779041127563,3,251,3,True,0,200,295
polling,1000,250,,1779041127810,1779041127814,4,502,3,True,0,200,295
polling,1000,250,,1779041128060,1779041128063,3,751,3,True,0,200,295
polling,1000,250,,1779041128310,1779041128314,4,1002,3,True,0,200,295
polling,1000,250,,1779041128560,1779041128563,3,249,4,False,0,200,298
polling,1000,250,,1779041128810,1779041128812,2,498,4,True,0,200,298
polling,1000,250,,1779041129060,1779041129063,3,749,4,True,0,200,298
polling,1000,250,,1779041129310,1779041129314,4,1000,4,True,0,200,298
polling,1000,250,,1779041129560,1779041129562,2,248,5,False,0,200,298
polling,1000,250,,1779041129810,1779041129812,2,498,5,True,0,200,298
polling,1000,250,,1779041130060,1779041130063,3,749,5,True,0,200,298
polling,1000,250,,1779041130310,1779041130314,4,1000,5,True,0,200,298
polling,1000,250,,1779041130560,1779041130562,2,248,6,False,0,200,292
polling,1000,250,,1779041130810,1779041130813,3,499,6,True,0,200,292
polling,1000,250,,1779041131060,1779041131064,4,750,6,True,0,200,291
polling,1000,250,,1779041131310,1779041131315,5,1001,6,True,0,200,292
polling,1000,250,,1779041131560,1779041131564,4,249,7,False,0,200,295
polling,1000,250,,1779041131810,1779041131812,2,497,7,True,0,200,295
polling,1000,250,,1779041132060,1779041132064,4,749,7,True,0,200,295
polling,1000,250,,1779041132310,1779041132314,4,999,7,True,0,200,295
polling,1000,250,,1779041132560,1779041132564,4,248,8,False,0,200,294
polling,1000,250,,1779041132810,1779041132812,2,496,8,True,0,200,295
polling,1000,250,,1779041133060,1779041133063,3,747,8,True,0,200,295
polling,1000,250,,1779041133310,1779041133315,5,999,8,True,0,200,295
polling,1000,250,,1779041133560,1779041133563,3,246,9,False,0,200,296
polling,1000,250,,1779041133810,1779041133814,4,497,9,True,0,200,296
polling,1000,250,,1779041134060,1779041134063,3,746,9,True,0,200,296
polling,1000,250,,1779041134310,1779041134314,4,997,9,True,0,200,296
polling,1000,250,,1779041134560,1779041134562,2,244,10,False,0,200,294
polling,1000,250,,1779041134810,1779041134815,5,497,10,True,0,200,294
polling,1000,250,,1779041135060,1779041135065,5,747,10,True,0,200,294
polling,1000,250,,1779041135310,1779041135316,6,998,10,True,0,200,293
polling,1000,250,,1779041135560,1779041135562,2,243,11,False,0,200,297
polling,1000,250,,1779041135810,1779041135816,6,497,11,True,0,200,297
polling,1000,250,,1779041136060,1779041136065,5,746,11,True,0,200,297
polling,1000,250,,1779041136310,1779041136314,4,995,11,True,0,200,297
polling,1000,250,,1779041136560,1779041136562,2,243,12,False,0,200,294
polling,1000,250,,1779041136810,1779041136815,5,496,12,True,0,200,294
polling,1000,250,,1779041137060,1779041137065,5,746,12,True,0,200,294
polling,1000,250,,1779041137310,1779041137314,4,995,12,True,0,200,294
polling,1000,250,,1779041137560,1779041137562,2,242,13,False,0,200,297
polling,1000,250,,1779041137810,1779041137814,4,494,13,True,0,200,296
polling,1000,250,,1779041138060,1779041138066,6,746,13,True,0,200,296
polling,1000,250,,1779041138310,1779041138315,5,995,13,True,0,200,297
polling,1000,250,,1779041138560,1779041138562,2,241,14,False,0,200,300
polling,1000,250,,1779041138810,1779041138813,3,492,14,True,0,200,300
polling,1000,250,,1779041139060,1779041139066,6,745,14,True,0,200,300
