strategy,generation_interval_ms,poll_interval_ms,long_poll_timeout_ms,request_started_at,response_received_at,request_latency_ms,data_age_ms,message_id,duplicate,missed_messages,http_status,response_bytes
polling,1000,1000,,1779040844153,1779040844155,2,2,1,False,0,200,297
polling,1000,1000,,1779040845154,1779040845156,2,2,2,False,0,200,295
polling,1000,1000,,1779040846154,1779040846156,2,1002,2,True,0,200,294
polling,1000,1000,,1779040847154,1779040847156,2,1000,3,False,0,200,295
polling,1000,1000,,1779040848154,1779040848156,2,1000,4,False,0,200,298
polling,1000,1000,,1779040849154,1779040849159,5,1003,5,False,0,200,298
polling,1000,1000,,1779040850154,1779040850156,2,999,6,False,0,200,292
polling,1000,1000,,1779040851154,1779040851156,2,998,7,False,0,200,295
polling,1000,1000,,1779040852153,1779040852156,3,997,8,False,0,200,295
polling,1000,1000,,1779040853154,1779040853156,2,996,9,False,0,200,296
polling,1000,1000,,1779040854154,1779040854156,2,995,10,False,0,200,294
polling,1000,1000,,1779040855154,1779040855156,2,994,11,False,0,200,297
polling,1000,1000,,1779040856154,1779040856156,2,994,12,False,0,200,294
polling,1000,1000,,1779040857154,1779040857156,2,993,13,False,0,200,297
polling,1000,1000,,1779040858154,1779040858156,2,992,14,False,0,200,300
polling,1000,1000,,1779040859153,1779040859156,3,990,15,False,0,200,297
polling,1000,1000,,1779040860153,1779040860156,3,989,16,False,0,200,297
polling,1000,1000,,1779040861153,1779040861156,3,988,17,False,0,200,294
polling,1000,1000,,1779040862154,1779040862156,2,986,18,False,0,200,297
polling,1000,1000,,1779040863154,1779040863156,2,986,19,False,0,200,297
polling,1000,1000,,1779040864154,1779040864156,2,985,20,False,0,200,297
polling,1000,1000,,1779040865153,1779040865156,3,984,21,False,0,200,297
polling,1000,1000,,1779040866153,1779040866156,3,983,22,False,0,200,297
polling,1000,1000,,1779040867153,1779040867156,3,981,23,False,0,200,297
polling,1000,1000,,1779040868153,1779040868156,3,981,24,False,0,200,294
polling,1000,1000,,1779040869154,1779040869156,2,980,25,False,0,200,297
polling,1000,1000,,1779040870154,1779040870156,2,980,26,False,0,200,294
polling,1000,1000,,1779040871154,1779040871156,2,979,27,False,0,200,297
polling,1000,1000,,1779040872154,1779040872157,3,979,28,False,0,200,297
polling,1000,1000,,1779040873154,1779040873156,2,978,29,False,0,200,294
polling,1000,1000,,1779040874154,1779040874157,3,978,30,False,0,200,297
polling,1000,1000,,1779040875154,1779040875156,2,976,31,False,0,200,297
polling,1000,1000,,1779040876153,1779040876156,3,975,32,False,0,200,297
polling,1000,1000,,1779040877154,1779040877156,2,973,33,False,0,200,297
polling,1000,1000,,1779040878153,1779040878156,3,972,34,False,0,200,294
polling,1000,1000,,1779040879154,1779040879156,2,971,35,False,0,200,297
polling,1000,1000,,1779040880154,1779040880156,2,970,36,False,0,200,296
polling,1000,1000,,1779040881154,1779040881156,2,969,37,False,0,200,297
polling,1000,1000,,1779040882154,1779040882156,2,968,38,False,0,200,303
polling,1000,1000,,1779040883153,1779040883156,3,967,39,False,0,200,297
polling,1000,1000,,1779040884154,1779040884156,2,966,40,False,0,200,297
polling,1000,1000,,1779040885154,1779040885156,2,965,41,False,0,200,294
polling,1000,1000,,1779040886154,1779040886156,2,963,42,False,0,200,297
polling,1000,1000,,1779040887153,1779040887156,3,962,43,False,0,200,297
polling,1000,1000,,1779040888154,1779040888156,2,961,44,False,0,200,297
polling,1000,1000,,1779040889154,1779040889156,2,959,45,False,0,200,297
polling,1000,1000,,1779040890154,1779040890156,2,958,46,False,0,200,297
polling,1000,1000,,1779040891153,1779040891156,3,958,47,False,0,200,303
polling,1000,1000,,1779040892154,1779040892156,2,957,48,False,0,200,298
polling,1000,1000,,1779040893154,1779040893156,2,956,49,False,0,200,303
polling,1000,1000,,1779040894154,1779040894156,2,955,50,False,0,200,297
polling,1000,1000,,1779040895153,1779040895156,3,954,51,False,0,200,296
polling,1000,1000,,1779040896154,1779040896156,2,953,52,False,0,200,303
polling,1000,1000,,1779040897154,1779040897156,2,952,53,False,0,200,296
polling,1000,1000,,1779040898153,1779040898155,2,950,54,False,0,200,294
polling,1000,1000,,1779040899153,1779040899156,3,950,55,False,0,200,297
polling,1000,1000,,1779040900154,1779040900156,2,950,56,False,0,200,297
polling,1000,1000,,1779040901154,1779040901155,1,948,57,False,0,200,297
polling,1000,1000,,1779040902154,1779040902156,2,947,58,False,0,200,303
polling,1000,1000,,1779040903154,1779040903156,2,946,59,False,0,200,297
polling,1000,1000,,1779040904154,1779040904156,2,945,60,False,0,200,297
polling,1000,1000,,1779040905154,1779040905156,2,944,61,False,0,200,297
polling,1000,1000,,1779040906154,1779040906156,2,943,62,False,0,200,297
polling,1000,1000,,1779040907154,1779040907156,2,942,63,False,0,200,297
polling,1000,1000,,1779040908154,1779040908156,2,941,64,False,0,200,297
polling,1000,1000,,1779040909154,1779040909156,2,940,65,False,0,200,297
polling,1000,1000,,1779040910153,1779040910155,2,937,66,False,0,200,296
polling,1000,1000,,1779040911154,1779040911156,2,937,67,False,0,200,297
polling,1000,1000,,1779040912154,1779040912156,2,936,68,False,0,200,297
polling,1000,1000,,1779040913153,1779040913156,3,935,69,False,0,200,294
polling,1000,1000,,1779040914154,1779040914156,2,934,70,False,0,200,297
polling,1000,1000,,1779040915154,1779040915156,2,932,71,False,0,200,297
polling,1000,1000,,1779040916154,1779040916156,2,931,72,False,0,200,307
polling,1000,1000,,1779040917154,1779040917156,2,930,73,False,0,200,297
polling,1000,1000,,1779040918154,1779040918156,2,928,74,False,0,200,298
polling,1000,1000,,1779040919154,1779040919156,2,927,75,False,0,200,297
polling,1000,1000,,1779040920153,1779040920157,4,927,76,False,0,200,297
polling,1000,1000,,1779040921154,1779040921156,2,925,77,False,0,200,298
polling,1000,1000,,1779040922154,1779040922156,2,925,78,False,0,200,297
polling,1000,1000,,1779040923154,1779040923156,2,924,79,False,0,200,297
polling,1000,1000,,1779040924154,1779040924156,2,923,80,False,0,200,298
polling,1000,1000,,1779040925154,1779040925156,2,922,81,False,0,200,298
polling,1000,1000,,1779040926154,1779040926156,2,920,82,False,0,200,297
polling,1000,1000,,1779040927154,1779040927156,2,919,83,False,0,200,298
